rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
218,Jacque VaughnATL,2001-2002,PG,82,22.6,6.6,2.5,5.3,47,0.3,0.7,44.4,1.3,1.5,82.5,2,4.3,0.8,0,1.4,1,0,0
219,Kelvin CatoHOU,2001-2002,C,75,25.6,6.6,2.5,4.3,58.3,0,0,0,1.5,2.6,58.2,7,0.4,0.5,1.3,0.7,11,0,0
220,Tom GugliottaPHX,2001-2002,PF,44,25.7,6.5,2.9,6.8,42.2,0.1,0.2,33.3,0.6,0.8,75.7,5,1.8,0.9,0.7,1.4,3,0,0
221,Eduardo NajeraDAL,2001-2002,PF,62,21.9,6.5,2.4,4.8,50,0,0,0,1.6,2.4,67.6,5.5,0.6,0.9,0.5,0.6,6,0,0
222,Ansu SesaySEA,2001-2002,SF,9,15.8,6.4,2.4,4.9,50,0,0,0,1.6,2.2,70,2.2,0.9,0.3,0.2,0.2,0,0,0
223,Dell CurryTOR,2001-2002,G,56,15.8,6.4,2.5,6.2,40.6,0.8,2.3,34.4,0.6,0.7,89.2,1.4,1.1,0.4,0.1,0.7,0,0,0
223,Jarron CollinsUTAH,2001-2002,C,70,20.6,6.4,2.3,4.9,46.1,0,0,0,1.9,2.6,74,4.2,0.8,0.4,0.3,0.8,1,0,0
225,Chris GatlingMIA,2001-2002,C,54,15,6.4,2.4,5.4,44.7,0,0.1,12.5,1.5,2.2,70.1,3.8,0.5,0.3,0.2,1.1,0,0,0
226,Eric WilliamsBOS,2001-2002,PF,74,23.6,6.4,1.9,5.2,37.4,0.3,1.2,27.9,2.2,3,73.1,3,1.5,1,0.1,1.3,0,0,0
227,Scot PollardSAC,2001-2002,C,80,23.5,6.4,2.5,4.5,55,0,0,0,1.4,2.1,69.3,7.1,0.7,0.9,1,0.9,7,0,0
228,Tyrone NesbyWSH,2001-2002,F,70,21.4,6.3,2.6,6,43.5,0.2,0.7,27.7,0.9,1.3,68.8,4.5,1.3,0.9,0.3,0.7,4,0,0
229,Grant LongMEM,2001-2002,F,66,28.3,6.3,2.5,5.8,42.6,0,0.3,17.6,1.3,1.9,69.9,3.5,2.1,1,0.2,1.6,0,0,0
230,Calvin BoothSEA,2001-2002,C,15,18.6,6.2,2.3,5.5,42.7,0,0,0,1.5,1.6,95.8,3.6,1.1,0.4,0.9,1.1,0,0,0
231,Tyson ChandlerCHI,2001-2002,C,71,19.6,6.1,2.1,4.3,49.7,0,0,0,1.9,3.1,60.4,4.8,0.8,0.4,1.3,1.4,7,0,0
232,Kevin WillisHOU,2001-2002,C,52,16.6,6.1,2.4,5.5,44,0,0,0,1.3,1.7,74.7,5.8,0.3,0.5,0.4,0.8,6,0,0
